BGC,log(HighestMean_AllClasses),class_discriminitive,LDA_score,LEfSe_pvalue,manual_pvalue,NCBI refrence sequence acession number,Taxa Name,Phylum,smNRPS 
O2.UC34.2__NODE_824_length_20412_cov_2.98708__20412__thiopeptide__ANTISMASH__0_20412,0.866158566,-,-,-,0.586543543,NZ_LXIH01000015,Streptococcus salivarius,Firmicutes,
V1.CD42.0__NODE_2860_length_11958_cov_6.16424__11958__lantipeptide__ANTISMASH__0_11958,3.735524897,C,3.152364105,0.000781916,0.000781916,N/A,N/A,Unassigned,
V1.UC25.1__NODE_2072_length_15433_cov_3.27858__15433__resorcinol__ANTISMASH__0_15433,0.803133066,-,-,-,0.586543543,NZ_ACLR01000226,Porphyromonas uenonis 60-3,Bacteroidetes,
O2.UC44.2__NODE_2347_length_12190_cov_1.13416__12190__nrps__ANTISMASH__0_12190,2.150778957,-,-,-,0.340920066,N/A,N/A,Unassigned,
V1.UC2.0__NODE_3288_length_9230_cov_2.07673__9230__lantipeptide__ANTISMASH__0_9230,3.493851578,C,2.871941876,0.000430345,0.000430345,NZ_ACII02000003,Ruminococcus sp. 5_1_39BFAA,Firmicutes,
V1.UC32.0__NODE_8774_length_5838_cov_1.43109__5838__t1pks__ANTISMASH__0_5838,1.804960986,-,-,-,0.213827244,N/A,N/A,Unassigned,
V1.UC26.4__NODE_3241_length_12347_cov_47.9258__12347__lassopeptide__ANTISMASH__0_12347,0,-,-,-,-,NC_015501,Porphyromonas asaccharolytica (strain ATCC 25260 / DSM 20707 / BCRC 10618 / JCM 6326 / LMG 13178 / VPI 4198) (Bacteroides asaccharolyticus),Bacteroidetes,
V1.UC28.0__NODE_8_length_179307_cov_3.55394__24165__lassopeptide__ANTISMASH__48767_72932,2.451751976,-,-,-,0.138304841,N/A,N/A,Unassigned,
O2.UC32.2__NODE_1639_length_16186_cov_1.46662__16186__lantipeptide__ANTISMASH__0_16186,1.214183517,-,-,-,0.43932307,NZ_OLMI01000002,Dorea sp. Marseille-P4042,Firmicutes,
O2.UC27.2__NODE_371_length_47497_cov_2.18766__25369__other__ANTISMASH__0_25369,3.051019291,C,2.780234888,0.002275129,0.002275129,NZ_CVRS01000048,Roseburia inulinivorans,Firmicutes,
O2.UC52.0__NODE_260_length_54157_cov_3.13297__40954__arylpolyene__ANTISMASH__10642_51596,2.574946145,-,-,-,0.840491014,N/A,N/A,Unassigned,
O2.UC34.2__NODE_361_length_39400_cov_3.24514__22609__lantipeptide__ANTISMASH__16791_39400,0,-,-,-,-,NZ_CP031248,Streptococcus pneumoniae,Firmicutes,
V1.UC31.0__NODE_1339_length_17308_cov_1.94196__17308__nrps__ANTISMASH__0_17308,0,-,-,-,-,N/A,N/A,Unassigned,
V1.UC3.0__NODE_1016_length_16708_cov_20.079__11280__bacteriocin__ANTISMASH__5428_16708,2.87361112,-,-,-,1,NC_017595,Streptococcus salivarius (strain JIM8777),Firmicutes,
V1.CD22.0__NODE_578_length_47686_cov_5.36884__38435__arylpolyene__ANTISMASH__9251_47686,2.652848734,-,-,-,0.036038833,N/A,N/A,Unassigned,
V1.UC1.0__NODE_2759_length_10866_cov_2.65461__10866__nrps__ANTISMASH__0_10866,3.386470061,-,-,-,0.57631816,N/A,N/A,Unassigned,
V1.CD19.0__NODE_13_length_199657_cov_7.77472__43554__arylpolyene__ANTISMASH__144630_188184,1.801587198,-,-,-,0.43932307,N/A,N/A,Unassigned,
V1.CD17.4__NODE_457_length_50816_cov_4.81108__43714__other__ANTISMASH__0_43714,1.948121688,-,-,-,0.065953933,N/A,N/A,Unassigned,
O2.UC37.2__NODE_492_length_47773_cov_7.38684__33583__lantipeptide__ANTISMASH__14190_47773,3.005028329,-,-,-,0.142584974,NZ_CP022547,Streptococcus thermophilus,Firmicutes,
V1.UC1.0__NODE_103_length_77806_cov_22.4112__41221__arylpolyene__ANTISMASH__23043_64264,3.115830238,-,-,-,0.023991939,NZ_JH724085,Bacteroides cellulosilyticus CL02T12C19,Bacteroidetes,
O2.UC9.2__NODE_1913_length_16345_cov_3.7283__16345__lantipeptide__ANTISMASH__0_16345,1.944538472,-,-,-,0.340920066,N/A,N/A,Unassigned,
O2.UC60.0__NODE_448_length_27925_cov_2.72723__6119__bacteriocin__ANTISMASH__21806_27925,3.360674641,C,2.962607214,0.000155393,0.000155393,NZ_CVRS01000016,Roseburia inulinivorans,Firmicutes,
V1.CD18.3__NODE_875_length_21155_cov_4.96829__18735__lantipeptide__ANTISMASH__2420_21155,2.380019076,-,-,-,0.884868624,N/A,N/A,Unassigned,
V1.CD14.0__NODE_839_length_5048_cov_0.773883__5048__arylpolyene__ANTISMASH__0_5048,2.621797714,-,-,-,0.586543543,N/A,N/A,Unassigned,
V1.UC26.0__NODE_824_length_27253_cov_1.7223__27253__nrps__ANTISMASH__0_27253,0.693783718,-,-,-,0.586543543,N/A,N/A,Unassigned,
V1.CD17.4__NODE_1363_length_25533_cov_5.9885__25533__nrps__ANTISMASH__0_25533,2.440627314,-,-,-,0.062977848,N/A,N/A,Unassigned,
O2.UC4.2__NODE_2825_length_12709_cov_4.34527__12709__nrps__ANTISMASH__0_12709,3.292850889,C,3.000790013,0.001827443,0.001827443,NZ_DS483537,Coprococcus eutactus ATCC 27759,Firmicutes,
O2.UC34.0__NODE_920_length_15927_cov_1.36864__14674__lassopeptide__ANTISMASH__0_14674,1.193296305,-,-,-,0.340920066,NC_017595,Streptococcus salivarius (strain JIM8777),Firmicutes,
V1.UC54.0__NODE_139_length_105693_cov_4.19711__12301__lantipeptide__ANTISMASH__0_12301,1.206088803,-,-,-,0.586543543,N/A,N/A,Unassigned,
V1.UC16.0__NODE_1799_length_9155_cov_2.16286__9155__lantipeptide__ANTISMASH__0_9155,2.024363094,-,-,-,0.896383995,NZ_BAII02000009,Clostridiales bacterium VE202-26,Firmicutes,
V1.UC49.1__NODE_70_length_156813_cov_6.61046__39461__nrps__ANTISMASH__0_39461,0,-,-,-,-,N/A,N/A,Unassigned,
V1.UC33.0__NODE_5166_length_7961_cov_1.81533__7961__nrps__ANTISMASH__0_7961,2.928528003,-,-,-,0.042309829,N/A,N/A,Unassigned,
O2.UC51.2__NODE_2506_length_15986_cov_2.71797__15986__terpene__ANTISMASH__0_15986,2.668723012,-,-,-,0.036038833,N/A,N/A,Unassigned,
V1.UC35.0__NODE_1299_length_19589_cov_2.46478__19589__nrps__ANTISMASH__0_19589,0,-,-,-,-,NZ_FONP01000002,Peptostreptococcus sp. D1,Firmicutes,
V1.UC53.4__NODE_4573_length_6469_cov_1.87138__6469__nrps__ANTISMASH__0_6469,3.835172925,-,-,-,0.080317004,NZ_LT546010,Blautia sp. Marseille-P2398,Firmicutes,
O2.UC41.0__NODE_844_length_26561_cov_11.647__5399__bacteriocin__ANTISMASH__21162_26561,3.851406096,-,-,-,0.037134199,N/A,N/A,Unassigned,
O2.UC2.0__NODE_1749_length_11584_cov_22.9975__11584__microcin__ANTISMASH__0_11584,4.296240376,C,3.69785208,0.002378475,0.002378475,NZ_AAXA02000015,Dorea formicigenerans ATCC 27755,Firmicutes,
O2.UC2.0__NODE_2614_length_8683_cov_2.57812__8683__lantipeptide__ANTISMASH__0_8683,3.549268892,-,-,-,0.77823145,NZ_CYZP01000002,Blautia obeum,Firmicutes,
V1.UC47.0__NODE_16_length_202099_cov_10.3497__43258__nrps__ANTISMASH__11313_54571,2.817180512,-,-,-,0.022735666,NZ_DS480328,Clostridium sp. L2-50,Firmicutes,
V1.UC14.1__NODE_828_length_25519_cov_3.37512__22344__arylpolyene__ANTISMASH__0_22344,0,-,-,-,-,NZ_GG739927,Prevotella buccae D17,Bacteroidetes,
V1.UC17.2__NODE_1842_length_15697_cov_9.85967__15697__arylpolyene__ANTISMASH__0_15697,2.406081744,-,-,-,0.268836049,NZ_NFIO01000005,Alistipes sp. An31A,Bacteroidetes,
O2.UC31.0__NODE_85_length_78248_cov_21.195__39430__arylpolyene__ANTISMASH__0_39430,2.059908505,-,-,-,0.586543543,N/A,N/A,Unassigned,
V1.UC28.0__NODE_1054_length_22579_cov_3.83897__22579__nrps__ANTISMASH__0_22579,2.586779689,-,-,-,0.213827244,N/A,N/A,Unassigned,
V1.UC37.0__NODE_216_length_53907_cov_3.17355__34815__nrps__ANTISMASH__19092_53907,2.223835345,-,-,-,0.366936672,N/A,N/A,Unassigned,
V1.UC15.3__NODE_360_length_67186_cov_4.38185__40485__other__ANTISMASH__26701_67186,2.59895743,-,-,-,0.017977281,N/A,N/A,Unassigned,
O2.UC51.2__NODE_114_length_111215_cov_3.66874__20840__terpene__ANTISMASH__27469_48309,2.449030928,-,-,-,0.213827244,NZ_JH594596,Odoribacter laneus YIT 12061,Bacteroidetes,
V1.UC50.1__NODE_3327_length_11959_cov_2.03721__11959__other__ANTISMASH__0_11959,1.331177386,-,-,-,0.586543543,NZ_LT962687,Anaerotruncus sp. AT3,Firmicutes,
O2.UC29.2__NODE_5070_length_5115_cov_1.31028__5115__terpene__ANTISMASH__0_5115,1.990915858,-,-,-,0.136937121,N/A,N/A,Unassigned,
O2.UC47.2__NODE_1778_length_13257_cov_1.24443__13257__nrps__ANTISMASH__0_13257,1.217933849,-,-,-,0.43932307,N/A,N/A,Unassigned,
O2.UC37.2__NODE_478_length_48618_cov_7.47911__38852__nrps__ANTISMASH__9766_48618,1.823745991,-,-,-,0.340920066,N/A,N/A,Unassigned,
O2.UC12.2__NODE_3731_length_8016_cov_4.07793__8016__lantipeptide__ANTISMASH__0_8016,2.416373243,-,-,-,0.17089665,N/A,N/A,Unassigned,
V1.CD35.1__NODE_3185_length_6846_cov_4.30231__6846__siderophore__ANTISMASH__0_6846,3.232613991,CD,2.858452545,0.003434952,0.003434952,NZ_LSUP01000001,Escherichia coli,Proteobacteria,
V1.CD6.4__NODE_39_length_113973_cov_7.37798__35319__nrps__ANTISMASH__0_35319,2.284847014,-,-,-,0.366936672,N/A,N/A,Unassigned,
V1.CD6.4__NODE_137_length_69334_cov_7.13365__39356__nrps__ANTISMASH__29978_69334,3.124592168,-,-,-,0.055179075,N/A,N/A,Unassigned,
O2.UC40.2__NODE_155_length_71854_cov_8.45455__47506__arylpolyene__ANTISMASH__9766_57272,3.391522405,-,-,-,0.068602876,NZ_CP012801,Bacteroides cellulosilyticus,Bacteroidetes,
V1.CD17.0__NODE_62_length_110305_cov_3.89438__45281__nrps__ANTISMASH__65024_110305,3.160551443,-,-,-,0.845508046,N/A,N/A,Unassigned,
V1.UC45.0__NODE_4099_length_6043_cov_1.1842__6043__arylpolyene__ANTISMASH__0_6043,4.092695681,-,-,-,0.891614529,N/A,N/A,Unassigned,
V1.UC55.0__NODE_676_length_51375_cov_6.44388__23606__lantipeptide__ANTISMASH__27769_51375,2.428456905,-,-,-,0.498034103,N/A,N/A,Unassigned,
O2.UC14.2__NODE_3176_length_8811_cov_1.51188__8811__nrps__ANTISMASH__0_8811,2.206536522,-,-,-,0.136937121,N/A,N/A,Unassigned,
V1.UC23.0__NODE_496_length_29014_cov_4.51221__26736__nrps__ANTISMASH__2278_29014,2.187820933,-,-,-,0.130703445,N/A,N/A,Unassigned,
V1.UC11.5__NODE_567_length_53443_cov_7.42564__43553__nrps__ANTISMASH__0_43553,1.944810096,-,-,-,0.020395922,NZ_JNKJ01000037,Blautia schinkii DSM 10518,Firmicutes,
V1.CD35.0__NODE_42_length_172857_cov_28.5797__20423__hserlactone__ANTISMASH__94352_114775,2.780842056,CD,2.603080392,0.001282594,0.001282594,NZ_JH992936,Veillonella seminalis ACS-216-V-Col6b,Firmicutes,
V1.UC33.0__NODE_4808_length_8485_cov_7.31767__8485__lantipeptide__ANTISMASH__0_8485,3.528481663,C,2.686209547,0.003599393,0.003599393,NZ_ACII02000003,Ruminococcus sp. 5_1_39BFAA,Firmicutes,
V1.CD24.0__NODE_2684_length_11411_cov_1.71486__11411__lantipeptide__ANTISMASH__0_11411,3.634845864,C,2.866827597,0.00241991,0.00241991,N/A,N/A,Unassigned,
O2.UC12.2__NODE_4001_length_7634_cov_4.83362__7634__bacteriocin__ANTISMASH__0_7634,1.756889788,-,-,-,0.43932307,N/A,N/A,Unassigned,
V1.UC32.0__NODE_504_length_53181_cov_4.4757__12856__lantipeptide__ANTISMASH__40325_53181,3.007905771,C,2.646034845,0.004601707,0.004601707,N/A,N/A,Unassigned,
O2.UC40.2__NODE_1120_length_21276_cov_8.2432__21276__lantipeptide__ANTISMASH__0_21276,3.940187525,C,3.62302951,1.00E-07,1.00E-07,N/A,N/A,Unassigned,
V1.CD22.0__NODE_232_length_80780_cov_3.31199__80780__transatpks-otherks-nrps__ANTISMASH__0_80780,2.194532113,-,-,-,0.213827244,NZ_UETD01000006,Ruminococcus flavefaciens,Firmicutes,
V1.UC47.0__NODE_2830_length_12027_cov_2.40812__12027__lantipeptide__ANTISMASH__0_12027,2.303200326,-,-,-,0.756632624,N/A,N/A,Unassigned,
V1.UC62.0__NODE_5019_length_8060_cov_2.68332__8060__other__ANTISMASH__0_8060,2.550119633,-,-,-,0.487209713,NZ_JNWB01000030,Bifidobacterium longum subsp. infantis EK3,Actinobacteria,
O2.UC29.0__NODE_2343_length_9247_cov_1.76425__9247__nrps__ANTISMASH__0_9247,2.806369538,-,-,-,0.045195092,N/A,N/A,Unassigned,
O2.UC31.0__NODE_2503_length_10438_cov_1.53588__10438__terpene__ANTISMASH__0_10438,2.48140223,-,-,-,0.490395324,N/A,N/A,Unassigned,
V1.UC23.1__NODE_3910_length_6217_cov_1.33544__6217__other__ANTISMASH__0_6217,1.711800224,-,-,-,0.136937121,NZ_JRFU01000203,Eubacterium ramulus,Firmicutes,
V1.CD34.0__NODE_411_length_48363_cov_4.8001__34296__nrps__ANTISMASH__14067_48363,2.34024767,-,-,-,0.17089665,N/A,N/A,Unassigned,
O2.UC12.2__NODE_8_length_154187_cov_12.1315__22916__arylpolyene__ANTISMASH__131271_154187,3.067331468,-,-,-,0.213827244,N/A,N/A,Unassigned,
O2.UC52.0__NODE_409_length_40899_cov_3.60374__40899__arylpolyene__ANTISMASH__0_40899,2.38203568,-,-,-,0.136937121,N/A,N/A,Unassigned,
V1.CD25.4__NODE_5477_length_6837_cov_2.69906__6837__arylpolyene__ANTISMASH__0_6837,2.321748695,CD,2.660124246,0.008538992,0.008538992,NZ_GG692711,Collinsella intestinalis DSM 13280,Actinobacteria,
O2.UC55.0__NODE_955_length_27786_cov_1.69338__20690__lassopeptide__ANTISMASH__7096_27786,2.458218344,-,-,-,0.138304841,N/A,N/A,Unassigned,
V1.UC15.3__NODE_19_length_273162_cov_10.228__33767__nrps__ANTISMASH__239395_273162,2.149057308,-,-,-,0.109846143,N/A,N/A,Unassigned,
O2.UC17.2__NODE_299_length_39639_cov_2.85482__27514__lantipeptide__ANTISMASH__12125_39639,2.370805868,-,-,-,0.056553659,N/A,N/A,Unassigned,
O2.UC50.0__NODE_370_length_42943_cov_3.22405__42527__arylpolyene__ANTISMASH__416_42943,3.531585088,-,-,-,0.371693865,NZ_PJKI01000023,Akkermansia muciniphila,Verrucomicrobia,
O2.UC2.2__NODE_947_length_27174_cov_4.78152__15999__lantipeptide__ANTISMASH__0_15999,2.518582517,-,-,-,0.088119766,NZ_BCYB01000076,Bifidobacterium pseudocatenulatum,Actinobacteria,
V1.CD19.0__NODE_1169_length_27435_cov_7.45679__27435__lantipeptide__ANTISMASH__0_27435,3.118359065,-,-,-,0.167337823,NZ_ACII02000003,Ruminococcus sp. 5_1_39BFAA,Firmicutes,
O2.UC47.2__NODE_422_length_37726_cov_2.03738__21205__sactipeptide__ANTISMASH__0_21205,1.794227522,-,-,-,0.586543543,NZ_MPDJ01000002,Eisenbergiella tayi,Firmicutes,
O2.UC58.2__NODE_2127_length_12752_cov_2.42742__12752__other__ANTISMASH__0_12752,2.638216967,-,-,-,0.022735666,N/A,N/A,Unassigned,
O2.UC12.2__NODE_891_length_24178_cov_3.51727__17438__terpene__ANTISMASH__6740_24178,0,-,-,-,-,N/A,N/A,Unassigned,
V1.UC47.0__NODE_1095_length_23891_cov_5.40905__23891__resorcinol__ANTISMASH__0_23891,3.382385587,-,-,-,0.362110169,NZ_KB905473,Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223,Bacteroidetes,
O2.UC47.2__NODE_349_length_42530_cov_2.21756__33169__nrps__ANTISMASH__9361_42530,0,-,-,-,-,N/A,N/A,Unassigned,
V1.UC3.2__NODE_848_length_6558_cov_1.85099__6244__bacteriocin__ANTISMASH__314_6558,3.004284712,-,-,-,0.689973189,NZ_JUVN01000095,Streptococcus salivarius,Firmicutes,
O2.UC56.2__NODE_1056_length_19787_cov_3.47466__19787__resorcinol__ANTISMASH__0_19787,4.108613174,-,-,-,0.45286192,NZ_DS995532,Bacteroides dorei DSM 17855,Bacteroidetes,
O2.UC34.2__NODE_770_length_21387_cov_3.47295__21387__bacteriocin__ANTISMASH__0_21387,2.897058758,-,-,-,0.633469665,NZ_NXMB01000001,Streptococcus salivarius,Firmicutes,
V1.UC11.5__NODE_2368_length_16905_cov_2.5416__16905__lantipeptide__ANTISMASH__0_16905,0,-,-,-,-,N/A,N/A,Unassigned,
V1.UC61.0__NODE_459_length_41744_cov_4.85281__24015__nrps__ANTISMASH__17729_41744,3.346780788,C,3.028741617,0.003130517,0.003130517,NZ_CYYE01000002,Coprococcus eutactus,Firmicutes,
O2.UC14.2__NODE_24_length_152881_cov_6.55331__47443__nrps__ANTISMASH__63454_110897,3.067076015,-,-,-,0.136937121,N/A,N/A,Unassigned,
V1.CD19.0__NODE_630_length_39856_cov_29.4238__36334__nrps__ANTISMASH__0_36334,2.455263714,-,-,-,0.586543543,NZ_NFJG01000011,Bacteroides sp. An269,Bacteroidetes,
O2.UC57.0__NODE_1502_length_15476_cov_1.38175__15476__other__ANTISMASH__0_15476,2.00032073,-,-,-,0.340920066,N/A,N/A,Unassigned,
O2.UC48.0__NODE_650_length_42228_cov_15.761__37159__lantipeptide__ANTISMASH__5069_42228,2.782525458,-,-,-,0.212105234,N/A,N/A,Unassigned,
O2.UC1.2__NODE_2949_length_11191_cov_1.91146__11191__arylpolyene__ANTISMASH__0_11191,0,-,-,-,-,N/A,N/A,Unassigned,
V1.UC49.0__NODE_1033_length_25195_cov_17.5059__21691__arylpolyene__ANTISMASH__3504_25195,2.421522786,-,-,-,0.586543543,N/A,N/A,Unassigned,
V1.UC62.0__NODE_4713_length_8599_cov_1.84925__8599__nrps__ANTISMASH__0_8599,3.112214841,-,-,-,0.454339691,N/A,N/A,Unassigned,
O2.UC57.0__NODE_566_length_28725_cov_2.29229__11458__terpene__ANTISMASH__17267_28725,2.898226881,-,-,-,0.284451845,N/A,N/A,Unassigned,
V1.CD16.0__NODE_1594_length_15730_cov_1.96606__15730__lantipeptide__ANTISMASH__0_15730,2.411048503,-,-,-,0.045195092,N/A,N/A,Unassigned,
O2.UC50.0__NODE_513_length_35883_cov_2.51546__26863__terpene__ANTISMASH__9020_35883,3.430860924,-,-,-,0.265489781,NZ_PJKI01000023,Akkermansia muciniphila,Verrucomicrobia,
O2.UC18.2__NODE_2919_length_11006_cov_12.9587__7200__bacteriocin__ANTISMASH__3806_11006,2.088067211,-,-,-,0.340920066,N/A,N/A,Unassigned,
V1.UC49.1__NODE_3578_length_11276_cov_2.48472__11276__nrps__ANTISMASH__0_11276,0.820735369,-,-,-,0.586543543,N/A,N/A,Unassigned,
V1.UC34.0__NODE_3494_length_8370_cov_16.6615__8370__resorcinol__ANTISMASH__0_8370,3.326813493,-,-,-,0.25740597,NZ_FOBA01000017,Bacteroides vulgatus,Bacteroidetes,
V1.CD38.0__NODE_1226_length_27215_cov_2.83391__12407__bacteriocin__ANTISMASH__14808_27215,2.136971892,-,-,-,0.340920066,N/A,N/A,Unassigned,
V1.UC55.0__NODE_6397_length_7599_cov_2.36072__7599__nrps__ANTISMASH__0_7599,1.622713677,-,-,-,0.17089665,N/A,N/A,Unassigned,
V1.UC15.3__NODE_2049_length_15754_cov_4.26721__15754__lantipeptide__ANTISMASH__0_15754,0,-,-,-,-,N/A,N/A,Unassigned,
V1.CD38.0__NODE_6830_length_6184_cov_4.7998__6184__nrps__ANTISMASH__0_6184,3.441688376,-,-,-,0.019317528,N/A,N/A,Unassigned,
V1.CD27.0__NODE_21_length_139061_cov_4.78161__23965__lantipeptide__ANTISMASH__97827_121792,1.920110188,-,-,-,0.661108793,NZ_PYLQ01000020,Lachnoclostridium sp. SNUG30099,Firmicutes,
V1.CD16.0__NODE_557_length_31808_cov_11.52__21389__lantipeptide__ANTISMASH__10419_31808,3.743440276,-,-,-,0.683940813,NZ_ACII02000003,Ruminococcus sp. 5_1_39BFAA,Firmicutes,
V1.UC2.4__NODE_4141_length_5995_cov_2.60758__5995__other__ANTISMASH__0_5995,3.889022178,-,-,-,0.075850876,NZ_LT546010,Blautia sp. Marseille-P2398,Firmicutes,
V1.UC31.4__NODE_299_length_67655_cov_5.5245__31052__nrps__ANTISMASH__0_31052,1.929544725,-,-,-,0.17089665,N/A,N/A,Unassigned,
V1.CD19.0__NODE_73_length_103687_cov_59.8611__41227__arylpolyene__ANTISMASH__31813_73040,2.725058353,-,-,-,0.586543543,N/A,N/A,Unassigned,
V1.UC31.4__NODE_295_length_68091_cov_23.1594__6231__bacteriocin__ANTISMASH__61860_68091,2.912871747,-,-,-,0.015446947,NZ_NMTZ01000027,Faecalibacterium prausnitzii,Firmicutes,
O2.UC50.2__NODE_123_length_68678_cov_14.6347__22021__resorcinol__ANTISMASH__46657_68678,3.115704575,-,-,-,0.840491014,NZ_NFKD01000005,Bacteroides sp. An19,Bacteroidetes,
V1.UC15.3__NODE_28_length_245338_cov_5.74642__41143__resorcinol__ANTISMASH__115129_156272,2.211333109,-,-,-,0.586543543,NZ_CZAI01000009,Bacteroides caccae,Bacteroidetes,
O2.UC11.2__NODE_111_length_70129_cov_5.88023__44426__nrps__ANTISMASH__16483_60909,1.886347766,-,-,-,0.109846143,N/A,N/A,Unassigned,
V1.CD15.3__NODE_865_length_37700_cov_53.5456__12882__terpene__ANTISMASH__24818_37700,3.285308566,-,-,-,0.920477059,N/A,N/A,Unassigned,
V1.CD6.4__NODE_2152_length_14223_cov_2.34294__14223__nrps__ANTISMASH__0_14223,3.074827856,-,-,-,0.23294362,N/A,N/A,Unassigned,
V1.UC37.0__NODE_14_length_192823_cov_9.74817__10492__microcin__ANTISMASH__182331_192823,3.161336144,-,-,-,0.43932307,N/A,N/A,Unassigned,
V1.UC49.1__NODE_4270_length_9298_cov_1.66483__9298__arylpolyene__ANTISMASH__0_9298,1.054257007,-,-,-,0.43932307,N/A,N/A,Unassigned,
V1.UC47.0__NODE_5074_length_7317_cov_2.02837__7317__nrps__ANTISMASH__0_7317,0,-,-,-,-,N/A,N/A,Unassigned,
V1.CD20.4__NODE_4174_length_8926_cov_2.65111__8926__resorcinol__ANTISMASH__0_8926,3.052423572,-,-,-,0.840491014,NZ_NFKD01000005,Bacteroides sp. An19,Bacteroidetes,
V1.CD30.0__NODE_6593_length_5371_cov_1.32731__5371__nrps__ANTISMASH__0_5371,3.296027466,C,3.023186747,0.003130517,0.003130517,N/A,N/A,Unassigned,
V1.CD27.0__NODE_1305_length_17284_cov_17.8576__12888__lantipeptide__ANTISMASH__4396_17284,3.10221445,-,-,-,0.051951725,N/A,N/A,Unassigned,
V1.CD21.4__NODE_3925_length_5903_cov_1.72948__5903__nrps__ANTISMASH__0_5903,2.291054164,-,-,-,0.034699497,N/A,N/A,Unassigned,
V1.CD10.0__NODE_453_length_17115_cov_2.32239__17115__siderophore__ANTISMASH__0_17115,3.103324049,CD,2.815832757,1.31E-07,1.31E-07,NZ_PSNQ01000016,Escherichia coli,Proteobacteria,
V1.UC15.3__NODE_2307_length_14119_cov_2.78363__14119__bacteriocin__ANTISMASH__0_14119,2.896417824,-,-,-,0.833896679,NZ_LXII01000042,Streptococcus salivarius,Firmicutes,
O2.UC26.2__NODE_457_length_41536_cov_13.8698__16929__lantipeptide__ANTISMASH__0_16929,0,-,-,-,-,N/A,N/A,Unassigned,
O2.UC48.0__NODE_452_length_52635_cov_2.66679__48690__nrps__ANTISMASH__0_48690,3.061362172,-,-,-,0.033254304,NZ_CYYM01000002,Dorea longicatena,Firmicutes,
V1.CD17.4__NODE_209_length_72120_cov_131.125__41140__resorcinol__ANTISMASH__24316_65456,3.877468049,-,-,-,0.138380447,NZ_KE159479,Bacteroides vulgatus dnLKV7,Bacteroidetes,
V1.CD22.0__NODE_3507_length_12519_cov_2.77078__12519__nrps__ANTISMASH__0_12519,1.409161134,-,-,-,0.586543543,N/A,N/A,Unassigned,
O2.UC13.2__NODE_33_length_156089_cov_7.85684__44299__nrps__ANTISMASH__45783_90082,3.414616566,-,-,-,0.070640189,N/A,N/A,Unassigned,
V1.UC16.0__NODE_314_length_34365_cov_26.1695__18887__lantipeptide__ANTISMASH__0_18887,3.295758817,-,-,-,0.049932983,NZ_GG698591,Blautia hansenii DSM 20583,Firmicutes,
O2.UC52.0__NODE_1961_length_11058_cov_1.9751__11058__other__ANTISMASH__0_11058,2.636915082,-,-,-,0.028665012,N/A,N/A,Unassigned,
O2.UC14.2__NODE_4260_length_6978_cov_1.66647__6978__nrps__ANTISMASH__0_6978,2.803275248,-,-,-,0.028665012,N/A,N/A,Unassigned,
V1.CD25.4__NODE_771_length_38707_cov_6.2539__38707__nrps__ANTISMASH__0_38707,2.937443079,CD,2.710579373,0.005983506,0.005983506,NZ_LN999827,Clostridium sp. AT4,Firmicutes,
V1.UC25.1__NODE_66_length_115282_cov_14.8577__47596__arylpolyene__ANTISMASH__41402_88998,2.866778533,-,-,-,0.935275309,NZ_FOBY01000002,Bacteroides sp. AR20,Bacteroidetes,
V1.UC34.0__NODE_2685_length_11165_cov_5.31233__11165__microcin__ANTISMASH__0_11165,3.786565983,C,3.294813917,0.006751011,0.006751011,N/A,N/A,Unassigned,
V1.UC52.1__NODE_309_length_63570_cov_6.1517__21694__terpene__ANTISMASH__16946_38640,3.599894199,-,-,-,0.234014542,N/A,N/A,Unassigned,
V1.CD18.3__NODE_120_length_89640_cov_2.48977__41492__arylpolyene__ANTISMASH__48148_89640,2.075326255,-,-,-,0.347704122,NZ_UGHS01000003,Haemophilus pittmaniae,Proteobacteria,
O2.UC40.2__NODE_235_length_58456_cov_3.39866__28381__nrps__ANTISMASH__30075_58456,2.970796766,-,-,-,0.17089665,N/A,N/A,Unassigned,
O2.UC12.2__NODE_19_length_130428_cov_7.27548__18084__bacteriocin__ANTISMASH__112344_130428,3.86285373,-,-,-,0.037134199,N/A,N/A,Unassigned,
V1.UC15.3__NODE_766_length_38769_cov_2.56383__30386__arylpolyene__ANTISMASH__0_30386,0,-,-,-,-,N/A,N/A,Unassigned,
O2.UC32.2__NODE_406_length_38259_cov_2.87946__35184__nrps__ANTISMASH__0_35184,3.171998432,-,-,-,0.012351222,N/A,N/A,Unassigned,
O2.UC50.0__NODE_5296_length_7260_cov_1.64469__7260__nrps__ANTISMASH__0_7260,3.948445239,-,-,-,0.126855959,NZ_ACII02000003,Ruminococcus sp. 5_1_39BFAA,Firmicutes,
V1.UC26.0__NODE_1_length_445950_cov_5.19339__42953__nrps__ANTISMASH__188465_231418,1.513127393,-,-,-,0.340920066,N/A,N/A,Unassigned,
O2.UC13.2__NODE_1269_length_23228_cov_3.74677__23228__resorcinol__ANTISMASH__0_23228,3.409935441,-,-,-,0.634409652,NZ_KB905473,Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223,Bacteroidetes,
V1.UC49.0__NODE_655_length_33050_cov_4.85571__33050__nrps__ANTISMASH__0_33050,1.780662344,-,-,-,0.43932307,N/A,N/A,Unassigned,
